listing_link,listing_image,listing_price,listing_property_type,listing_location,listing_rooms,listing_size
https://www.tecnocasa.tn/vendre/villa/mahdia/mahdia/63785.html,https://cdn-media.medialabtc.it/tn/agencies/mdca1/estates/63785/images/368308/gallery_media.jpeg,,Villa individuelle en vente,Mahdia - Mahdia Centre-ville,250 m²,250 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/mahdia/60079.html,https://cdn-media.medialabtc.it/tn/agencies/mdca2/estates/60079/images/337608/gallery_media.jpeg,,Maison jumelée en vente,Mahdia - Cité Erraoudha,328 m²,328 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/51271.html,https://cdn-media.medialabtc.it/tn/agencies/mdca1/estates/51271/images/256895/gallery_media.jpeg,,Triplex en vente,Mahdia - Zouila,3 pièces,160 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/61301.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+3 en vente,Mahdia - Zouila,3 pièces,110 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/mahdia/61977.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa jumelée en vente,Mahdia - Hiboun,600 m²,600 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/50894.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+2 en vente,Mahdia - Hiboun,103 m²,103 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/63669.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Triplex en vente,Mahdia - Mahdia Centre-ville,2 pièces,305 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/63740.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+3 en vente,Mahdia - Zouila,3 pièces,135 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/50053.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Triplex en vente,Mahdia - Mahdia Centre-ville,280 m²,280 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/mahdia/44172.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,Mahdia - Zouila,1632 m²,1632 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/mahdia/34729.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Terrain habitation ind. en vente,Mahdia - Mahdia Centre-ville,1220 m²,1220 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/rejiche/61310.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,S+2 en vente,Rejiche,2 pièces,87 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/mahdia/57282.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Maison jumelée en vente,Mahdia - Mahdia Centre-ville,190 m²,190 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/mahdia/57376.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",,Villa jumelée en vente,Mahdia - Hiboun,278 m²,278 m²
https://www.tecnocasa.tn/vendre/bureau/mahdia/mahdia/58236.html,https://cdn-media.medialabtc.it/tn/agencies/mdca1/estates/58236/images/340208/gallery_media.jpeg,230 000 DT,Hall+3 en vente,Mahdia - Zouila,3 pièces,60 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/61329.html,https://cdn-media.medialabtc.it/tn/agencies/mdca1/estates/61329/images/346210/gallery_media.jpeg,152 000 DT,S+2 en vente,Mahdia - Mahdia Centre-ville,3 pièces,85 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/62756.html,https://cdn-media.medialabtc.it/tn/agencies/mdca1/estates/62756/images/357941/gallery_media.jpeg,150 000 DT,S+3 en vente,Mahdia - Mahdia Centre-ville,4 pièces,100 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/63266.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",275 000 DT,S+3 en vente,Mahdia - Zouila,4 pièces,135 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/62497.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",239 000 DT,S+1 en vente,Mahdia - Zone Touristique Mahdia,1 pièce,81 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/62717.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",185 000 DT,S+3 en vente,Mahdia - Cité Erraoudha,3 pièces,108 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/62748.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",160 000 DT,S+3 en vente,Mahdia - Cité Erraoudha,3 pièces,108 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/chebba/62372.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",125 500 DT,Terrain habitation ind. en vente,Chebba,493 m²,493 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/ksour-essef/63561.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",130 000 DT,Terrain habitation ind. en vente,Ksour Essef,311 m²,311 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/rejiche/61617.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",220 000 DT,S+2 en vente,Rejiche,2 pièces,124 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/62151.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",380 000 DT,S+2 en vente,Mahdia - Zone Touristique Mahdia,2 pièces,116 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/58275.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",457 000 DT,S+3 en vente,Mahdia - Zone Touristique Mahdia,4 pièces,127 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/58873.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",223 000 DT,S+1 en vente,Mahdia - Zone Touristique Mahdia,1 pièce,60 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/58531.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",340 000 DT,S+2 en vente,Mahdia - Zone Touristique Mahdia,2 pièces,87 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/rejiche/63310.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",175 000 DT,Villa jumelée en vente,Rejiche,265 m²,265 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/rejiche/63442.html,https://cdn-media.medialabtc.it/tn/agencies/mdca3/estates/63442/images/366125/gallery_media.jpeg,130 000 DT,S+2 en vente,Rejiche,3 pièces,135 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/mahdia/61358.html,https://cdn-media.medialabtc.it/tn/agencies/mdca2/estates/61358/images/346911/gallery_media.jpeg,887 000 DT,Terrain habitation ind. en vente,Mahdia - Zone Touristique Mahdia,1972 m²,1972 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/mahdia/59827.html,https://cdn-media.medialabtc.it/tn/agencies/mdca2/estates/59827/images/334520/gallery_media.jpeg,820 000 DT,Villa individuelle en vente,Mahdia - Hiboun,451 m²,451 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/60679.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",308 000 DT,S+2 en vente,Mahdia - Zone Touristique Mahdia,2 pièces,86 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/mahdia/60826.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",360 000 DT,S+2 en vente,Mahdia - Zone Touristique Mahdia,2 pièces,135 m²
https://www.tecnocasa.tn/vendre/appartement/mahdia/salakta/63414.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",210 000 DT,S+1 en vente,Salakta,2 pièces,47 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/salakta/63490.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",131 000 DT,Terrain habitation ind. en vente,Salakta,218 m²,218 m²
https://www.tecnocasa.tn/vendre/villa/mahdia/ksour-essef/63385.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",80 000 DT,Villa inachevée en vente,Ksour Essef,100 m²,100 m²
https://www.tecnocasa.tn/vendre/terrain/mahdia/rejiche/62197.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",290 000 DT,Terrain habitation ind. en vente,Rejiche,488 m²,488 m²
